Date,Country_Region,Province_State,Difference,Prep_Flow_Runtime,Latest_Date,Case_Type,Cases,Lat,Long
3/9/2020,India,N/A,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21,78
3/8/2020,India,N/A,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21,78
3/7/2020,India,N/A,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21,78
3/6/2020,India,N/A,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21,78
3/5/2020,India,N/A,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21,78
3/4/2020,India,N/A,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21,78
3/3/2020,India,N/A,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21,78
3/23/2020,India,N/A,3,3/24/2020 9:39:03 AM,3/23/2020,Deaths,10,21,78
3/22/2020,India,N/A,3,3/24/2020 9:39:03 AM,3/23/2020,Deaths,7,21,78
3/21/2020,India,N/A,-1,3/24/2020 9:39:03 AM,3/23/2020,Deaths,4,21,78
3/20/2020,India,N/A,1,3/24/2020 9:39:03 AM,3/23/2020,Deaths,5,21,78
3/2/2020,India,N/A,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,0,21,78
3/19/2020,India,N/A,1,3/24/2020 9:39:03 AM,3/23/2020,Deaths,4,21,78
3/18/2020,India,N/A,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,3,21,78
3/17/2020,India,N/A,1,3/24/2020 9:39:03 AM,3/23/2020,Deaths,3,21,78
3/16/2020,India,N/A,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,2,21,78
3/15/2020,India,N/A,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,2,21,78
3/14/2020,India,N/A,0,3/24/2020 9:39:03 AM,3/23/2020,Deaths,2,21,78
3/13/2020,India,N/A,1,3/24/2020 9:39:03 AM,3/23/2020,Deaths,2,21,78
