Type,Maturity,Currency,Volume,Coupon,Settlement Date,Maturity Date,USD Equivalent,ISIN,Final Terms
Green,5,INR,80000000,0.045,04/05/2018 12:00:00 AM,03/24/2023 12:00:00 AM,1230000,XS1801822419,
Green,5,INR,80000000,0.0405,11/28/2017 12:00:00 AM,11/28/2022 12:00:00 AM,1230000,XS1724511958,
Green,5,INR,1608700000,0.05,09/27/2017 12:00:00 AM,,25100000,XS1687324068,http://pubdocs.worldbank.org/en/206211544553172402/ft-2017-XS1687324068.pdf
Green,3,MYR,65000000,0.0295,03/13/2017 12:00:00 AM,03/13/2020 12:00:00 AM,14620000,XS1576723552,http://pubdocs.worldbank.org/en/302211544553170997/ft-2017-XS1576723552.pdf
Green,3,USD,100000000,0.01181,11/14/2016 12:00:00 AM,12/15/2019 12:00:00 AM,100000000,XS1517268105,
Green,5,INR,200000000,0.055,06/29/2016 12:00:00 AM,06/28/2021 12:00:00 AM,2990000,XS1432564133,http://pubdocs.worldbank.org/en/188831550243927511/ft-2016-XS1432564133.pdf
Green,5,INR,140000000,0.054,06/29/2016 12:00:00 AM,06/29/2021 12:00:00 AM,2090000,XS1432390125,
Green,12,USD,50000000,0,04/06/2016 12:00:00 AM,,50000000,XS1386304395,http://pubdocs.worldbank.org/en/833271544553164048/ft-2016-XS1386304395.pdf
Green,9,USD,16390000,0,11/13/2015 12:00:00 AM,01/08/2016 12:00:00 AM,16390000,XS1319581960,
Green,5,BRL,100000000,0.1175,11/04/2015 12:00:00 AM,,25640000,XS1315186921,http://pubdocs.worldbank.org/en/782911544553161009/ft-2015-XS1315186921.pdf
Green,10,USD,1000000,0.02,11/02/2015 12:00:00 AM,11/04/2025 12:00:00 AM,1000000,XS1296661298,http://pubdocs.worldbank.org/en/306781544553159603/ft-2015-XS1296661298.pdf
Green,7,USD,1000000,0.016,11/02/2015 12:00:00 AM,11/04/2022 12:00:00 AM,1000000,XS1296575969,
Green,5,USD,1000000,0.012,11/02/2015 12:00:00 AM,11/04/2020 12:00:00 AM,1000000,XS1296575373,
Green,10,USD,50000000,0,07/03/2015 12:00:00 AM,,50000000,XS1249904597,http://pubdocs.worldbank.org/en/425101544553155253/ft-2015-XS1249904597.pdf
Green,5,INR,260000000,0.056,06/25/2015 12:00:00 AM,06/25/2020 12:00:00 AM,4080000,XS1241051967,
Green,10,MXN,263000000,0.0525,05/08/2015 12:00:00 AM,05/18/2015 12:00:00 AM,17340000,XS1233786950,http://pubdocs.worldbank.org/en/127361544553152382/ft-2015-XS1233786950.pdf
Green,8,USD,83540000,0,06/29/2015 12:00:00 AM,,83540000,XS1233613188,http://pubdocs.worldbank.org/en/215251544553150986/ft-2015-XS1233613188.pdf
Green,10,USD,50000000,0,05/15/2015 12:00:00 AM,,50000000,XS1225604815,http://pubdocs.worldbank.org/en/369311544553149492/ft-2015-XS1225604815.pdf
Green,10,USD,80000000,0.0195,05/08/2015 12:00:00 AM,,80000000,XS1225179420,http://pubdocs.worldbank.org/en/398531550249432973/ft-2015-XS1225179420.pdf
Green,7,USD,10000000,0,04/30/2015 12:00:00 AM,05/03/2022 12:00:00 AM,10000000,XS1222512094,
Green,5,INR,63000000,0.052,05/21/2015 12:00:00 AM,05/22/2020 12:00:00 AM,1010000,XS1218772793,
Green,7,USD,40000000,0,04/10/2015 12:00:00 AM,,40000000,XS1207782266,http://pubdocs.worldbank.org/en/514671544553146489/ft-2015-XS1207782266.pdf
Green,7,USD,10000000,0,04/10/2015 12:00:00 AM,04/11/2022 12:00:00 AM,10000000,XS1205479170,http://pubdocs.worldbank.org/en/513441544553144977/ft-2015-XS1205479170.pdf
Green,5,INR,63000000,0.048,04/20/2015 12:00:00 AM,04/21/2020 12:00:00 AM,1010000,XS1202767866,
Green,8,USD,103280000,0,04/30/2015 12:00:00 AM,05/12/2023 12:00:00 AM,103280000,XS1201913651,http://pubdocs.worldbank.org/en/952971544553141980/ft-2015-XS1201913651.pdf
Green,5,INR,110000000,0.046,03/27/2015 12:00:00 AM,03/27/2020 12:00:00 AM,1770000,XS1201896468,
Green,7,USD,13750000,0,03/20/2015 12:00:00 AM,03/21/2022 12:00:00 AM,13750000,XS1199554087,
Green,4,TRY,50000000,0.0825,09/08/2017 12:00:00 AM,03/04/2022 12:00:00 AM,14480000,XS1198022706,http://pubdocs.worldbank.org/en/549061544553137553/ft-2015-XS1198022706-t8.pdf
Green,30,EUR,30000000,0.01033,02/25/2015 12:00:00 AM,,36940000,XS1192988738,http://pubdocs.worldbank.org/en/657561541196847706/ft-2015-XS1192988738.pdf
Green,6,USD,22750000,0,10/27/2014 12:00:00 AM,,22750000,XS1128972244,http://pubdocs.worldbank.org/en/114491544553130362/ft-2014-XS1128972244.pdf
Green,7,USD,91040000,0,01/12/2015 12:00:00 AM,,91040000,XS1128441711,http://pubdocs.worldbank.org/en/320611544553128828/ft-2014-XS1128441711.pdf
Green,12,EUR,10000000,0,10/07/2014 12:00:00 AM,10/07/2026 12:00:00 AM,12880000,XS1115487065,
Green,5,SEK,1500000000,0.01375,06/23/2014 12:00:00 AM,06/23/2019 12:00:00 AM,224550000,XS1078475024,http://pubdocs.worldbank.org/en/957701544553127388/ft-2014-XS1078475024.pdf
Green,5,AUD,24200000,0.0301,06/02/2014 12:00:00 AM,,22620000,XS1070709586,http://pubdocs.worldbank.org/en/121861544553126042/ft-2014-XS1070709586.pdf
Green,4,BRL,465500000,0.0927,05/21/2014 12:00:00 AM,05/21/2018 12:00:00 AM,210350000,XS1066979490,
Green,4,TRY,335500000,0.0829,05/21/2014 12:00:00 AM,05/21/2018 12:00:00 AM,161310000,XS1066978419,
Green,3,EUR,550000000,0.0025,03/20/2014 12:00:00 AM,03/20/2017 12:00:00 AM,677190000,XS1047440448,http://pubdocs.worldbank.org/en/635161544553124627/ft-2014-XS1047440448.pdf
