Type,Maturity,Currency,Volume,Coupon,Settlement Date,Maturity Date,USD Equivalent,ISIN,Final Terms
Green,10,RUB,529200000,0.0675,06/13/2013 12:00:00 AM,06/20/2013 12:00:00 AM,16350000,XS0945575347,http://pubdocs.worldbank.org/en/350581550243893737/ft-2013-XS0945575347.pdf
Green,10,ZAR,150000000,0.07,06/07/2013 12:00:00 AM,06/07/2023 12:00:00 AM,14930000,XS0941866252,http://pubdocs.worldbank.org/en/262281544553120027/ft-2013-XS0941866252.pdf
Green,6,MXN,50000000,0.005,02/27/2013 12:00:00 AM,02/28/2019 12:00:00 AM,3380000,XS0887320900,
Green,5,ZAR,83000000,0.005,01/30/2013 12:00:00 AM,01/31/2018 12:00:00 AM,8020000,XS0873237068,
Green,7,MYR,16500000,0.025,12/10/2012 12:00:00 AM,12/10/2019 12:00:00 AM,5430000,XS0862778833,http://pubdocs.worldbank.org/en/406971544553114214/ft-2012-XS0862778833.pdf
Green,5,AUD,94500000,0.0291,10/23/2012 12:00:00 AM,10/24/2017 12:00:00 AM,97750000,XS0840338981,http://pubdocs.worldbank.org/en/819661550243877173/ft-2012-XS0840338981.pdf
Green,10,AUD,42200000,0.005,10/23/2012 12:00:00 AM,,31980000,XS0840332869,http://pubdocs.worldbank.org/en/779031544553112729/ft-2012-XS0840332869.pdf
Green,5,USD,10000000,0.0051,10/12/2012 12:00:00 AM,10/12/2017 12:00:00 AM,10000000,XS0831238182,
Green,7,RUB,500000000,0.065,07/26/2012 12:00:00 AM,07/26/2019 12:00:00 AM,15480000,XS0809448375,http://pubdocs.worldbank.org/en/206351541195893322/ft-2012-XS0809448375.pdf
Green,5,USD,10000000,0.0084,02/06/2012 12:00:00 AM,02/06/2017 12:00:00 AM,10000000,XS0739956042,
Green,7,PLN,65000000,0.0325,01/31/2012 12:00:00 AM,,19650000,XS0739611571,
Green,10,AUD,10000000,0.0445,10/05/2011 12:00:00 AM,10/06/2021 12:00:00 AM,9770000,XS0684954232,
Green,10,CAD,10000000,0.03,08/08/2011 12:00:00 AM,08/09/2021 12:00:00 AM,10570000,XS0654310415,http://pubdocs.worldbank.org/en/975781544553104207/ft-2011-XS0654310415.pdf
Green,5,EUR,20000000,0.0225,07/13/2011 12:00:00 AM,,28980000,XS0647664142,http://pubdocs.worldbank.org/en/245391544553102725/ft-2011-XS0647664142.pdf
Green,5,USD,10000000,0.0171,06/13/2011 12:00:00 AM,06/14/2016 12:00:00 AM,10000000,XS0633090799,http://pubdocs.worldbank.org/en/773271550243848076/ft-2011-XS0633090799.pdf
Green,5,USD,10000000,0.0218,04/14/2011 12:00:00 AM,04/15/2016 12:00:00 AM,10000000,XS0615756854,
Green,5,USD,10000000,0.022,03/17/2011 12:00:00 AM,03/17/2016 12:00:00 AM,10000000,XS0605503100,
Green,5,USD,20000000,0.023,02/25/2011 12:00:00 AM,,20000000,XS0595272310,http://pubdocs.worldbank.org/en/957711550243838840/ft-2011-XS0595272310.pdf
Green,5,USD,10000000,0.0234,02/18/2011 12:00:00 AM,02/18/2016 12:00:00 AM,10000000,XS0592318397,http://pubdocs.worldbank.org/en/806371550243827343/ft-2011-XS0592318397.pdf
Green,5,USD,30000000,0.02,02/17/2011 12:00:00 AM,,30000000,XS0587411249,http://pubdocs.worldbank.org/en/552251544553098160/ft-2011-XS0587411249.pdf
Green,5,USD,10000000,0.0198,01/20/2011 12:00:00 AM,01/21/2016 12:00:00 AM,10000000,XS0580161361,
Green,5,USD,10000000,0,01/20/2011 12:00:00 AM,01/21/2016 12:00:00 AM,10000000,XS0579623991,
Green,10,USD,5000000,0.0332,01/18/2011 12:00:00 AM,01/19/2021 12:00:00 AM,5000000,XS0578137688,
Green,5,USD,30000000,0.02135,01/25/2011 12:00:00 AM,,30000000,XS0577437436,http://pubdocs.worldbank.org/en/539481544553093940/ft-2011-XS0577437436.pdf
Green,5,USD,10000000,0.015,11/30/2010 12:00:00 AM,11/30/2015 12:00:00 AM,10000000,XS0563580058,
Green,5,MYR,12000000,0.01375,11/09/2010 12:00:00 AM,11/09/2015 12:00:00 AM,3860000,XS0556058153,http://pubdocs.worldbank.org/en/692741541195246938/ft-2010-XS0556058153.pdf
Green,5,AUD,30000000,0.054,11/16/2010 12:00:00 AM,,29800000,XS0554299015,http://pubdocs.worldbank.org/en/442051544553084385/ft-2010-XS0554299015.pdf
Green,10,SEK,100000000,0.035,11/02/2010 12:00:00 AM,11/02/2020 12:00:00 AM,15080000,XS0554265032,http://pubdocs.worldbank.org/en/982491541195227392/ft-2010-XS0554265032.pdf
Green,5,USD,50000000,0.01375,09/01/2010 12:00:00 AM,,50000000,XS0533647052,http://pubdocs.worldbank.org/en/725121544553082824/ft-2010-XS0533647052.pdf
Green,5,USD,10000000,0,07/16/2010 12:00:00 AM,07/16/2015 12:00:00 AM,10000000,XS0521422021,
Green,3,ZAR,500000000,0.0687,06/26/2009 12:00:00 AM,,62970000,XS0507402690,http://pubdocs.worldbank.org/en/893131550249431305/ft-2010-XS0507402690.pdf
Green,7,EUR,2000000,0.025,03/05/2010 12:00:00 AM,05/19/2017 12:00:00 AM,2700000,XS0492037725,http://pubdocs.worldbank.org/en/795981544553076877/ft-2010-XS0492037725.pdf
Green,10,JPY,125000000,0.00875,03/09/2010 12:00:00 AM,03/09/2020 12:00:00 AM,1400000,XS0491921937,http://pubdocs.worldbank.org/en/617081544553075401/ft-2010-XS0491921937.pdf
Green,10,COP,25000000000,0.08,03/02/2010 12:00:00 AM,03/02/2020 12:00:00 AM,12910000,XS0490636791,http://pubdocs.worldbank.org/en/958931544553074001/ft-2010-XS0490636791.pdf
Green,7,HUF,1500000000,0.055,03/02/2010 12:00:00 AM,05/19/2017 12:00:00 AM,7450000,XS0490633939,http://pubdocs.worldbank.org/en/696561544553070953/ft-2010-XS0490633939.pdf
Green,7,NOK,400000000,0.0375,03/02/2010 12:00:00 AM,,66670000,XS0490567616,http://pubdocs.worldbank.org/en/153231544553069464/ft-2010-XS0490567616.pdf
Green,6,RUB,300000000,0.075,11/12/2010 12:00:00 AM,03/02/2017 12:00:00 AM,9760000,XS0490457438,http://pubdocs.worldbank.org/en/143151541195101066/ft-2010-XS0490457438.pdf
Green,6,RUB,350000000,0.075,01/19/2011 12:00:00 AM,03/02/2017 12:00:00 AM,11530000,XS0490457438,http://pubdocs.worldbank.org/en/656371544553068054/ft-2010-XS0490457438-t5.pdf
Green,7,RUB,750000000,0.075,03/02/2010 12:00:00 AM,,24920000,XS0490457438,http://pubdocs.worldbank.org/en/882411544553066619/ft-2010-XS0490457438.pdf
Green,7,TRY,50000000,0.1,03/02/2010 12:00:00 AM,,32770000,XS0490456034,http://pubdocs.worldbank.org/en/480011544553065037/ft-2010-XS0490456034.pdf
Green,6,BRL,25000000,0.095,01/31/2011 12:00:00 AM,03/02/2017 12:00:00 AM,14970000,XS0490455069,http://pubdocs.worldbank.org/en/438111544553061955/ft-2010-XS0490455069-t5.pdf
Green,6,BRL,25000000,0.095,04/14/2011 12:00:00 AM,03/02/2017 12:00:00 AM,15690000,XS0490455069,http://pubdocs.worldbank.org/en/433241544553063623/ft-2010-XS0490455069-t6.pdf
Green,7,BRL,40000000,0.095,03/02/2010 12:00:00 AM,,21860000,XS0490455069,http://pubdocs.worldbank.org/en/989691544553060387/ft-2010-XS0490455069.pdf
Green,7,NZD,50000000,0.05625,03/03/2010 12:00:00 AM,,34830000,XS0490413571,http://pubdocs.worldbank.org/en/650521544553058785/ft-2010-XS0490413571.pdf
Green,7,ZAR,100000000,0.0875,03/05/2010 12:00:00 AM,03/01/2017 12:00:00 AM,12980000,XS0490350393,http://pubdocs.worldbank.org/en/537731544553057068/ft-2010-XS0490350393.pdf
Green,10,MXN,200000000,0.075,03/05/2010 12:00:00 AM,03/05/2020 12:00:00 AM,15480000,XS0490347415,http://pubdocs.worldbank.org/en/961381544553054050/ft-2010-XS0490347415.pdf
Green,7,AUD,150000000,0.06,03/05/2010 12:00:00 AM,02/15/2017 12:00:00 AM,133950000,XS0490342028,http://pubdocs.worldbank.org/en/723571550243808307/ft-2010-XS0490342028.pdf
Green,8,SEK,100000000,0.0325,02/26/2010 12:00:00 AM,12/15/2017 12:00:00 AM,13760000,XS0485770241,http://pubdocs.worldbank.org/en/657661544553052566/ft-2010-XS0485770241-t2.pdf
Green,8,SEK,500000000,0.0325,02/22/2010 12:00:00 AM,,68740000,XS0485770241,http://pubdocs.worldbank.org/en/771751544553051203/ft-2010-XS0485770241.pdf
Green,5,NZD,150000000,0.0523,02/02/2010 12:00:00 AM,01/29/2015 12:00:00 AM,110700000,XS0479886672,
Green,6,SEK,150000000,0.035,02/13/2009 12:00:00 AM,,18380000,XS0398811959,http://pubdocs.worldbank.org/en/384091544553042556/ft-2008-XS0398811959-t3.pdf
Green,3,SEK,200000000,0.035,12/20/2011 12:00:00 AM,,29200000,XS0398811959,http://pubdocs.worldbank.org/en/294361544553044007/ft-2008-XS0398811959-t5.pdf
Green,6,SEK,2325000000,0.035,11/12/2008 12:00:00 AM,11/12/2014 12:00:00 AM,300000000,XS0398811959,http://pubdocs.worldbank.org/en/906091544553040376/ft-2008-XS0398811959.pdf
Green,5,USD,500000000,0.0175,11/22/2016 12:00:00 AM,11/22/2021 12:00:00 AM,500000000,US45905UZT41,
Green,10,USD,1030000,0,09/30/2016 12:00:00 AM,09/30/2026 12:00:00 AM,1030000,US45905UYK41,http://pubdocs.worldbank.org/en/882011544553162552/ft-2016-US45905UYK41.pdf
Green,2,USD,280000000,0.01005,04/21/2016 12:00:00 AM,10/01/2018 12:00:00 AM,280000000,US45905UWE09,
Green,10,USD,1330000,0,06/30/2015 12:00:00 AM,06/30/2025 12:00:00 AM,1330000,US45905USP02,http://pubdocs.worldbank.org/en/388671544553136158/ft-2015-US45905USP02.pdf
Green,3,USD,15000000,0,06/04/2015 12:00:00 AM,09/04/2018 12:00:00 AM,15000000,US45905USL97,
Green,3,USD,35000000,0,03/30/2015 12:00:00 AM,,35000000,US45905URQ93,http://pubdocs.worldbank.org/en/187381544553133166/ft-2015-US45905URQ93.pdf
Green,10,USD,600000000,0.02125,03/03/2015 12:00:00 AM,03/03/2025 12:00:00 AM,600000000,US45905URL07,http://pubdocs.worldbank.org/en/892061544553131754/ft-2015-US45905URL07.pdf
Green,10,USD,5000000,0,09/26/2014 12:00:00 AM,09/26/2024 12:00:00 AM,5000000,US45905UQH04,http://pubdocs.worldbank.org/en/194391550243907484/ft-2014-US45905UQH04.pdf
Green,2,USD,250000000,0.0065,09/23/2014 12:00:00 AM,09/23/2016 12:00:00 AM,250000000,US45905UQE72,http://pubdocs.worldbank.org/en/845181550243900369/ft-2014-US45905UQE72.pdf
Green,1,USD,550000000,0,01/22/2014 12:00:00 AM,07/22/2015 12:00:00 AM,550000000,US45905UNQ30,http://pubdocs.worldbank.org/en/853291544553123193/ft-2014-US45905UNQ30.pdf
Green,2,USD,550000000,0.00375,08/22/2013 12:00:00 AM,08/24/2015 12:00:00 AM,550000000,US45905UNJ96,http://pubdocs.worldbank.org/en/829311544553115646/ft-2013-US45905UNJ96.pdf
Green,5,USD,15000000,0,09/28/2017 12:00:00 AM,09/28/2022 12:00:00 AM,15000000,US45905UN834,
Green,10,USD,5000000,0.015,07/12/2012 12:00:00 AM,07/12/2022 12:00:00 AM,5000000,US45905ULF92,http://pubdocs.worldbank.org/en/572161544553108491/ft-2012-US45905ULF92.pdf
Green,5,USD,10000000,0.00625,07/12/2012 12:00:00 AM,07/12/2017 12:00:00 AM,10000000,US45905ULE28,http://pubdocs.worldbank.org/en/939691544553107021/ft-2012-US45905ULE28.pdf
Green,5,USD,15000000,0,08/23/2017 12:00:00 AM,08/23/2022 12:00:00 AM,15000000,US45905UL366,
Green,3,USD,50000000,0,03/01/2012 12:00:00 AM,,50000000,US45905UKM52,http://pubdocs.worldbank.org/en/775981550243856822/ft-2012-US45905UKM52.pdf
Green,2,USD,400000000,0.005,12/15/2011 12:00:00 AM,12/16/2013 12:00:00 AM,400000000,US45905UKC70,http://pubdocs.worldbank.org/en/351271544553091198/ft-2011-US45905UKC70.pdf
Green,10,USD,7690000,0,08/11/2011 12:00:00 AM,08/11/2021 12:00:00 AM,7690000,US45905UJC99,
Green,6,USD,10000000,0.02,12/20/2010 12:00:00 AM,10/20/2016 12:00:00 AM,10000000,US45905UHN72,http://pubdocs.worldbank.org/en/182531541195041523/ft-2010-US45905UHN72.pdf
Green,4,USD,130000000,0.02,12/04/2009 12:00:00 AM,12/04/2013 12:00:00 AM,130000000,US45905UGT51,http://pubdocs.worldbank.org/en/126321544553046769/ft-2009-US45905UGT51.pdf
Green,3,USD,300000000,0,04/24/2009 12:00:00 AM,04/24/2012 12:00:00 AM,300000000,US45905UGD00,http://pubdocs.worldbank.org/en/679801544553045378/ft-2009-US45905UGD00.pdf
Green,5,USD,50000000,0,04/12/2017 12:00:00 AM,,50000000,US45905UG572,http://pubdocs.worldbank.org/en/952811544553166764/ft-2017-US45905UG572.pdf
Green,5,USD,300000000,0.02,04/12/2017 12:00:00 AM,04/12/2022 12:00:00 AM,300000000,US45905UG408,http://pubdocs.worldbank.org/en/700631544553165402/ft-2017-US45905UG408.pdf
Green,10,USD,100000000,0.01709,06/29/2016 12:00:00 AM,06/29/2026 12:00:00 AM,100000000,JP500102AGJ1,http://pubdocs.worldbank.org/en/887631550249434718/ft-2016-JP500102AGJ1.pdf
Green,5,AUD,300000000,0.035,04/29/2014 12:00:00 AM,04/29/2019 12:00:00 AM,281010000,AU3CB0220424,http://pubdocs.worldbank.org/en/281711544553121638/ft-2014-AU3CB0220424.pdf
